代码,名称,价格,涨跌幅,成交额亿,换手率,市盈率,得分,信号
000063,中兴通讯,36.81,-5.93,113.94,7.51,31.5,35,"放量, 换手7.5%"
000977,浪潮信息,57.89,-6.84,43.08,4.97,35.3,35,"放量, 换手5.0%"
002049,紫光国微,69.98,-6.87,24.3,4.0,41.0,35,"放量, 换手4.0%"
002241,歌尔股份,23.1,-6.93,34.08,4.6,20.3,35,"放量, 换手4.6%"
300033,同花顺,204.9,-3.08,29.56,3.26,34.4,35,"放量, 换手3.3%"
603283,赛腾股份,46.22,-5.77,9.08,5.51,26.4,35,"放量, 换手5.5%"
300496,中科创达,64.74,2.48,16.49,6.92,66.1,35,"涨2.5%, 放量, 换手6.9%"
002747,埃斯顿,34.12,9.99,36.8,14.43,682.4,30,"涨幅较大10.0%, 放量, 换手14.4%"
300212,*ST易录,11.63,7.68,5.21,6.61,亏损,25,"涨幅较大7.7%, 放量, 换手6.6%, 亏损"
002475,立讯精密,66.14,-3.82,125.46,2.61,28.9,25,放量
002281,光迅科技,206.99,-9.05,126.88,7.71,171.1,25,"放量, 换手7.7%"
603501,豪威集团,92.02,-3.53,21.03,1.88,27.3,25,放量
300308,中际旭创,1154.99,-2.12,389.24,3.03,117.9,25,"放量, 换手3.0%"
300620,光库科技,299.67,-6.44,52.6,7.07,422.7,25,"放量, 换手7.1%"
300502,新易盛,725.0,-3.08,233.49,3.6,75.4,25,"放量, 换手3.6%"
601138,工业富联,70.48,-4.83,140.14,0.99,39.6,25,放量
300364,中文在线,23.02,-3.36,7.35,4.8,亏损,20,"放量, 换手4.8%, 亏损"
300672,国科微,276.7,-7.46,31.46,5.32,亏损,20,"放量, 换手5.3%, 亏损"
600745,*ST闻泰,20.91,-2.24,19.32,7.51,亏损,20,"放量, 换手7.5%, 亏损"
