代码,名称,最新价,涨跌幅,市盈率,换手率,突破类型,突破幅度,突破价位,量比,成交量放大,MACD多头,有效突破
002636,金安国纪,84.8,9.532,205.327,12.6652,60日,49.3,56.8,1.68,True,True,True
300706,阿石创,67.88,19.993,-188.556,30.9733,60日,21.24,55.99,1.62,True,True,True
603155,新亚强,25.12,9.982,96.615,11.9888,60日,19.22,21.07,2.47,True,True,True
605318,法狮龙,126.99,8.948,-2539.8,7.90327,60日,17.92,107.69,1.89,True,True,True
300665,飞鹿股份,11.81,6.685,-10.871,23.9183,60日,10.58,10.68,1.91,True,True,True
603303,得邦照明,32.3,7.595,57.158,3.86523,60日,8.39,29.8,1.78,True,True,True
605589,圣泉集团,61.0,1.498,51.261,15.6419,60日,7.11,56.95,2.55,True,True,True
600228,返利科技,7.45,8.918,-49.207,15.4189,60日,6.73,6.98,1.72,True,True,True
002409,雅克科技,134.81,10.004,64.14,18.098,60日,5.5,127.78,1.78,True,True,True
600206,有研新材,34.24,6.203,109.393,21.0501,60日,2.39,33.44,1.89,True,True,True
300334,津膜科技,12.86,13.005,-116.909,17.173,60日,46.47,8.78,1.05,False,True,True
600378,昊华科技,63.89,10.003,57.055,7.44364,60日,40.42,45.5,0.94,False,True,True
603823,百合花,42.63,9.843,106.575,7.27888,60日,38.41,30.8,1.14,False,True,True
603065,XD宿迁联,12.36,9.964,-397.428,3.06759,60日,35.08,9.15,0.72,False,True,True
300666,江丰电子,292.4,19.998,154.709,9.70505,60日,31.58,222.22,1.06,False,True,True
301072,中捷精工,35.0,-1.13,-67.308,13.1347,60日,30.35,26.85,0.9,False,True,True
603186,华正新材,170.38,4.323,87.374,12.5898,60日,22.38,139.22,0.98,False,True,True
603078,江化微,46.36,1.444,170.567,14.6243,60日,20.1,38.6,0.99,False,True,True
605186,健麾信息,34.33,7.315,149.261,10.703,60日,19.2,28.8,1.38,False,True,True
003043,华亚智能,82.01,1.724,130.175,12.447,60日,17.98,69.51,1.12,False,True,True
002119,康强电子,31.2,10.014,100.645,14.5757,60日,16.64,26.75,1.16,False,True,True
300985,致远新能,30.9,2.794,-134.348,5.38307,60日,16.6,26.5,1.15,False,True,True
002971,和远气体,52.75,10.01,181.897,15.2167,60日,16.37,45.33,1.0,False,True,True
002254,泰和新材,18.92,10.0,378.4,10.0517,60日,15.79,16.34,0.82,False,True,True
600367,红星发展,54.03,-8.237,200.111,23.1966,60日,15.01,46.98,1.16,False,True,True
603124,江南新材,178.8,6.505,111.75,8.12274,60日,14.19,156.58,1.14,False,True,True
603608,天创时尚,24.45,7.19,611.25,11.234,60日,13.88,21.47,1.2,False,True,True
600353,旭光电子,29.94,9.993,153.617,12.5641,60日,13.24,26.44,1.27,False,True,True
603500,祥和实业,13.12,3.797,32.8,19.5448,60日,11.85,11.73,1.31,False,True,True
002955,鸿合科技,30.73,2.948,139.682,6.03868,60日,11.75,27.5,1.0,False,True,True
600500,中化国际,7.21,10.076,-11.629,1.08371,60日,11.61,6.46,0.64,False,True,True
605358,立昂微,71.17,-3.17,-338.905,13.1394,60日,11.38,63.9,1.07,False,True,True
600665,天地源,4.07,10.0,-2.703,4.12864,60日,11.2,3.66,1.14,False,True,True
300489,光智科技,176.0,16.456,-729.988,9.44359,60日,10.98,158.58,1.28,False,True,True
002735,王子新材,19.4,2.537,-46.19,31.7449,60日,10.73,17.52,1.09,False,True,True
300716,*ST泉为,19.32,4.207,-13.963,3.31065,60日,10.4,17.5,0.68,False,True,True
300400,劲拓股份,37.44,-2.955,106.971,9.37451,60日,9.96,34.05,0.8,False,True,True
600403,大有能源,8.05,5.229,-9.546,8.37331,60日,8.78,7.4,1.01,False,True,True
