代码,名称,板块,最新价,涨跌幅,换手率,量比,current_price,period_low,period_high,price_ratio,price_percentile,distance_from_low,distance_from_high
300711,广哈通信,数字经济,20.1,1.06,1.32031,0.81,20.1,19.49,35.14,1.03,1.2,3.13,42.8
300711,广哈通信,数字经济,20.1,1.06,1.30404,0.81,20.1,19.49,35.14,1.03,1.2,3.13,42.8
603236,移远通信,数字经济,74.96,0.6,4.84174,0.97,74.96,70.38,113.04,1.07,13.6,6.51,33.69
603236,移远通信,数字经济,74.96,0.6,3.13123,0.97,74.96,70.38,113.04,1.07,13.6,6.51,33.69
603602,纵横通信,数字经济,13.89,2.28,2.20523,1.37,13.89,12.28,17.75,1.13,18.5,13.11,21.75
603602,纵横通信,数字经济,13.89,2.28,2.35823,1.37,13.89,12.28,17.75,1.13,18.5,13.11,21.75
603322,超讯通信,数字经济,36.37,2.34,5.23713,1.82,36.37,28.53,60.0,1.27,22.6,27.48,39.38
603322,超讯通信,数字经济,36.37,2.34,5.26002,1.82,36.37,28.53,60.0,1.27,22.6,27.48,39.38
603988,中电电机,新能源-汽车,22.17,0.73,2.92461,1.18,22.17,21.12,39.97,1.05,2.1,4.97,44.53
603988,中电电机,新能源-汽车,22.17,0.73,2.78567,1.18,22.17,21.12,39.97,1.05,2.1,4.97,44.53
300678,中科信息,新质生产力-AI,26.88,-3.24,2.32718,0.47,26.88,26.51,41.43,1.01,0.4,1.4,35.12
300678,中科信息,新质生产力-AI,26.88,-3.24,1.83531,0.47,26.88,26.51,41.43,1.01,0.4,1.4,35.12
300271,华宇软件,新质生产力-AI,6.0,0.17,1.30477,0.39,6.0,5.91,9.68,1.02,0.8,1.52,38.02
300271,华宇软件,新质生产力-AI,6.0,0.17,1.20198,0.39,6.0,5.91,9.68,1.02,0.8,1.52,38.02
300663,科蓝软件,新质生产力-AI,8.39,1.7,4.31959,0.65,8.39,8.25,22.55,1.02,0.8,1.7,62.79
300663,科蓝软件,新质生产力-AI,8.39,1.7,4.02131,0.65,8.39,8.25,22.55,1.02,0.8,1.7,62.79
300288,朗玛信息,新质生产力-AI,11.08,0.0,2.10559,0.54,11.08,10.87,17.37,1.02,0.8,1.93,36.21
300288,朗玛信息,新质生产力-AI,11.08,0.0,1.77117,0.54,11.08,10.87,17.37,1.02,0.8,1.93,36.21
300659,中孚信息,新质生产力-AI,12.26,1.57,3.12735,0.61,12.26,11.97,19.55,1.02,0.8,2.42,37.29
300659,中孚信息,新质生产力-AI,12.26,1.57,3.13537,0.61,12.26,11.97,19.55,1.02,0.8,2.42,37.29
603918,金桥信息,新质生产力-AI,12.53,1.05,2.4437,0.38,12.53,12.18,23.36,1.03,0.8,2.87,46.36
603918,金桥信息,新质生产力-AI,12.53,1.05,2.72874,0.38,12.53,12.18,23.36,1.03,0.8,2.87,46.36
300036,超图软件,新质生产力-AI,14.29,0.28,2.72328,0.79,14.29,13.89,22.8,1.03,3.7,2.88,37.32
300036,超图软件,新质生产力-AI,14.29,0.28,2.44188,0.79,14.29,13.89,22.8,1.03,3.7,2.88,37.32
603273,天元智能,新质生产力-AI,16.62,3.04,4.01934,0.35,16.62,16.08,23.98,1.03,2.1,3.36,30.69
603273,天元智能,新质生产力-AI,16.62,3.04,5.04869,0.35,16.62,16.08,23.98,1.03,2.1,3.36,30.69
301185,鸥玛软件,新质生产力-AI,17.24,2.93,2.17052,0.49,17.24,16.65,23.92,1.04,0.8,3.54,27.93
301185,鸥玛软件,新质生产力-AI,17.24,2.93,2.09992,0.49,17.24,16.65,23.92,1.04,0.8,3.54,27.93
301320,豪江智能,新质生产力-AI,16.08,1.64,3.94959,0.33,16.08,15.47,23.8,1.04,1.6,3.94,32.44
301320,豪江智能,新质生产力-AI,16.08,1.64,3.66905,0.33,16.08,15.47,23.8,1.04,1.6,3.94,32.44
300925,法本信息,新质生产力-AI,17.67,0.34,2.3082,0.37,17.67,16.98,28.12,1.04,3.3,4.06,37.16
300925,法本信息,新质生产力-AI,17.67,0.34,2.81076,0.37,17.67,16.98,28.12,1.04,3.3,4.06,37.16
301311,昆船智能,新质生产力-AI,16.1,1.45,0.99668,0.19,16.1,15.43,24.49,1.04,1.6,4.34,34.26
301311,昆船智能,新质生产力-AI,16.1,1.45,1.15792,0.19,16.1,15.43,24.49,1.04,1.6,4.34,34.26
300605,恒锋信息,新质生产力-AI,12.26,1.83,5.61373,0.48,12.26,11.7,20.38,1.05,1.2,4.79,39.84
300605,恒锋信息,新质生产力-AI,12.26,1.83,4.82872,0.48,12.26,11.7,20.38,1.05,1.2,4.79,39.84
002065,东华软件,新质生产力-AI,8.05,0.37,1.27591,0.51,8.05,7.66,12.35,1.05,4.5,5.09,34.82
002065,东华软件,新质生产力-AI,8.05,0.37,1.26427,0.51,8.05,7.66,12.35,1.05,4.5,5.09,34.82
300188,国投智能,新质生产力-AI,11.58,-4.22,2.52763,0.63,11.58,11.0,19.94,1.05,0.4,5.27,41.93
300188,国投智能,新质生产力-AI,11.58,-4.22,1.60111,0.63,11.58,11.0,19.94,1.05,0.4,5.27,41.93
300543,朗科智能,新质生产力-AI,9.39,2.29,6.66612,0.43,9.39,8.83,14.95,1.06,2.5,6.34,37.19
300543,朗科智能,新质生产力-AI,9.39,2.29,5.33064,0.43,9.39,8.83,14.95,1.06,2.5,6.34,37.19
603656,泰禾智能,新质生产力-AI,18.72,1.08,1.75402,0.87,18.72,17.6,26.5,1.06,14.4,6.36,29.36
603656,泰禾智能,新质生产力-AI,18.72,1.08,1.63644,0.87,18.72,17.6,26.5,1.06,14.4,6.36,29.36
300306,远方信息,新质生产力-AI,12.24,3.03,2.39922,0.49,12.24,11.43,15.68,1.07,13.2,7.09,21.94
300306,远方信息,新质生产力-AI,12.24,3.03,2.53424,0.49,12.24,11.43,15.68,1.07,13.2,7.09,21.94
300380,安硕信息,新质生产力-AI,35.26,-2.65,2.61176,0.44,35.26,32.8,61.23,1.07,8.2,7.5,42.41
300380,安硕信息,新质生产力-AI,35.26,-2.65,2.16085,0.44,35.26,32.8,61.23,1.07,8.2,7.5,42.41
300996,普联软件,新质生产力-AI,13.1,2.75,3.03293,0.82,13.1,12.18,22.99,1.08,4.9,7.55,43.02
300996,普联软件,新质生产力-AI,13.1,2.75,3.55273,0.82,13.1,12.18,22.99,1.08,4.9,7.55,43.02
002178,延华智能,新质生产力-AI,5.79,1.05,10.4298,0.53,5.79,5.37,8.2,1.08,4.1,7.82,29.39
002178,延华智能,新质生产力-AI,5.79,1.05,5.03147,0.53,5.79,5.37,8.2,1.08,4.1,7.82,29.39
300168,万达信息,新质生产力-AI,5.64,0.89,1.2614,0.81,5.64,5.2,8.86,1.08,10.7,8.46,36.34
300168,万达信息,新质生产力-AI,5.64,0.89,1.3538,0.81,5.64,5.2,8.86,1.08,10.7,8.46,36.34
600756,浪潮软件,新质生产力-AI,15.23,-4.09,2.25484,0.73,15.23,13.97,26.21,1.09,20.2,9.02,41.89
600756,浪潮软件,新质生产力-AI,15.23,-4.09,2.3577,0.73,15.23,13.97,26.21,1.09,20.2,9.02,41.89
600536,中国软件,新质生产力-AI,38.57,-4.03,1.62164,0.9,38.57,35.24,56.74,1.09,12.4,9.45,32.02
600536,中国软件,新质生产力-AI,38.57,-4.03,1.67131,0.9,38.57,35.24,56.74,1.09,12.4,9.45,32.02
002232,启明信息,新质生产力-AI,17.64,0.4,1.23376,0.87,17.64,16.1,28.16,1.1,12.3,9.57,37.36
002232,启明信息,新质生产力-AI,17.64,0.4,1.69351,0.87,17.64,16.1,28.16,1.1,12.3,9.57,37.36
300793,佳禾智能,新质生产力-AI,14.71,1.8,2.80159,0.44,14.71,13.41,20.67,1.1,15.2,9.69,28.83
300793,佳禾智能,新质生产力-AI,14.71,1.8,2.57011,0.44,14.71,13.41,20.67,1.1,15.2,9.69,28.83
301135,瑞德智能,新质生产力-AI,26.95,3.06,3.10132,0.44,26.95,24.2,34.22,1.11,23.5,11.36,21.24
