代码,名称,板块,最新价,涨跌幅,换手率,量比,PE,PB,ROE,市值(亿),current_price,period_low,period_high,price_ratio,price_percentile,distance_from_low,distance_from_high
300711,广哈通信,数字经济,20.1,1.06,1.30404,0.81,51.49,,,0.01,20.1,19.49,35.14,1.03,1.2,3.13,42.8
603236,移远通信,数字经济,74.96,0.6,4.84174,0.97,24.62,,,0.02,74.96,70.38,113.04,1.07,13.6,6.51,33.69
603988,中电电机,新能源-汽车,22.17,0.73,2.78567,1.18,163.08,,,0.0,22.17,21.12,39.97,1.05,2.1,4.97,44.53
300036,超图软件,新质生产力-AI,14.29,0.28,2.44188,0.79,143.43,,,0.01,14.29,13.89,22.8,1.03,3.7,2.88,37.32
603273,天元智能,新质生产力-AI,16.62,3.04,5.04869,0.35,128.0,,,0.0,16.62,16.08,23.98,1.03,2.1,3.36,30.69
301185,鸥玛软件,新质生产力-AI,17.24,2.93,2.09992,0.49,42.6,,,0.0,17.24,16.65,23.92,1.04,0.8,3.54,27.93
300925,法本信息,新质生产力-AI,17.67,0.34,2.81076,0.37,67.12,,,0.01,17.67,16.98,28.12,1.04,3.3,4.06,37.16
002065,东华软件,新质生产力-AI,8.05,0.37,1.26427,0.51,51.85,,,0.02,8.05,7.66,12.35,1.05,4.5,5.09,34.82
603656,泰禾智能,新质生产力-AI,18.72,1.08,1.63644,0.87,113.94,,,0.0,18.72,17.6,26.5,1.06,14.4,6.36,29.36
300306,远方信息,新质生产力-AI,12.24,3.03,2.53424,0.49,41.48,,,0.0,12.24,11.43,15.68,1.07,13.2,7.09,21.94
300380,安硕信息,新质生产力-AI,35.26,-2.65,2.16085,0.44,154.64,,,0.0,35.26,32.8,61.23,1.07,8.2,7.5,42.41
300996,普联软件,新质生产力-AI,13.1,2.75,3.55273,0.82,45.82,,,0.0,13.1,12.18,22.99,1.08,4.9,7.55,43.02
301135,瑞德智能,新质生产力-AI,26.95,3.06,2.10405,0.44,91.7,,,0.0,26.95,24.2,34.22,1.11,23.5,11.36,21.24
003028,振邦智能,新质生产力-AI,28.75,2.5,10.7207,1.09,57.63,,,0.0,28.75,25.15,42.04,1.14,15.6,14.31,31.61
600845,宝信软件,新质生产力-AI,22.55,-5.69,0.83081,1.9,45.58,,,0.06,22.55,19.61,26.68,1.15,21.5,14.99,15.48
002279,久其软件,新质生产力-AI,7.09,-0.42,2.99518,0.57,128.0,,,0.01,7.09,6.02,11.31,1.18,28.4,17.77,37.31
603383,顶点软件,新质生产力-AI,32.8,-1.35,3.14692,0.99,38.38,,,0.01,32.8,27.76,49.27,1.18,15.2,18.16,33.43
002097,山河智能,新质生产力-AI,9.12,-0.11,1.64374,0.16,111.75,,,0.01,9.12,7.09,20.98,1.29,17.7,28.63,56.53
300685,艾德生物,生物医药,18.96,-0.84,6.73539,0.72,22.68,,,0.01,18.96,18.92,26.15,1.0,0.4,0.21,27.5
300009,安科生物,生物医药,8.19,-0.85,0.93761,0.24,18.8,,,0.01,8.19,8.16,13.06,1.0,0.4,0.37,37.29
300119,瑞普生物,生物医药,16.49,-1.73,0.97458,0.21,17.97,,,0.01,16.49,16.43,26.6,1.0,0.4,0.37,38.01
300138,晨光生物,生物医药,10.49,-0.19,1.1564,0.38,13.45,,,0.0,10.49,10.45,15.8,1.0,0.4,0.38,33.61
603983,丸美生物,生物医药,23.79,-2.02,0.50307,0.47,37.77,,,0.01,23.79,23.7,54.27,1.0,0.4,0.38,56.16
002019,亿帆医药,生物医药,10.3,-0.77,1.10909,0.36,30.61,,,0.01,10.3,10.26,16.66,1.0,0.4,0.39,38.18
