code,name,price,pct_change,turnover,amount,pe,market_cap,score
300790,宇瞳光学,23.19,7.61,12.1882,1311563702,35.136,1212362,80.6236
603328,依顿电子,13.98,7.044,7.76959,1028288248,30.0,1395823,80.53918
002831,裕同科技,30.42,7.796,5.01288,1082206778,17.383,3919103,80.02575999999999
000422,湖北宜化,14.06,8.992,6.43944,932766794,18.867,1529144,77.87888000000001
600301,华锡有色,58.54,6.34,9.25355,1473866198,46.24,3703050,77.5271
600060,海信视像,27.98,8.366,2.98131,1064608827,14.82,3651312,75.96262
603606,东方电缆,40.42,7.529,5.40327,1757488210,21.849,3333876,75.80654
600392,盛和资源,25.27,6.043,8.43631,3679134440,52.789,4429393,75.00162
600549,XD厦门钨,67.44,6.456,7.66288,7965367128,46.363,10706679,74.69376
603650,彤程新材,64.3,7.579,8.9672,3475579916,68.404,3961413,72.9344
603393,新天然气,28.06,5.767,4.80613,556232229,14.768,1189523,71.91326000000001
600338,西藏珠峰,17.2,3.428,11.7856,1848860692,30.709,1572441,71.7128
300566,激智科技,29.0,8.209,16.7198,1085963492,37.179,760103,71.5604
600711,盛屯矿业,11.83,4.783,3.14439,1131824412,18.566,3656193,70.63777999999999
002756,永兴材料,62.83,4.927,7.82387,1894421832,50.264,3387175,70.42874
000792,盐湖股份,30.41,4.754,2.77916,4436757549,18.986,16091672,69.82032
300037,新宙邦,75.6,4.782,7.68989,3105210487,51.781,5699381,69.72578
600096,云天化,29.99,4.495,3.00872,1616120781,10.604,5467149,69.50244
603886,元祖股份,13.08,6.776,12.8786,403515975,22.552,313920,69.2428
603283,赛腾股份,50.93,2.764,7.85782,1404383038,29.103,1795416,69.00764000000001
300852,四会富仕,52.76,6.975,6.68619,525703591,59.955,846910,68.37237999999999
000969,安泰科技,22.24,6.923,6.68208,1533522052,63.38,2336355,68.36416
301379,天山电子,24.08,4.605,9.55743,483379310,33.154,665783,67.92986
600256,广汇能源,6.33,5.15,3.49514,1396921257,30.55,4046138,67.44028
601678,滨化股份,5.95,5.31,14.7498,1750620982,54.091,1223818,66.43039999999999
603681,永冠新材,23.4,5.311,7.54815,413836243,34.925,556316,66.0293
002430,杭氧股份,27.72,2.895,6.06045,1618603454,28.577,2712011,65.80590000000001
002643,万润股份,15.46,6.547,5.42583,745073594,49.871,1415981,65.49266
300641,正丹股份,16.88,5.106,4.89409,431009511,12.412,887120,65.10618
000823,超声电子,19.1,6.883,19.9227,2196370892,46.102,1135167,65.0
000060,中金岭南,7.17,3.165,5.21701,1665010476,34.143,3184321,64.92902000000001
600888,新疆众和,11.14,2.296,6.50743,1112396077,23.394,1730138,64.90286
300592,华凯易佰,13.08,6.688,4.87105,216244480,34.421,528905,64.7421
300866,安克创新,111.99,7.239,2.28233,765399816,23.471,6005759,64.56466
301107,瑜欣电子,23.81,3.747,10.9363,213141280,32.176,338552,64.36840000000001
301680,固德电材,114.18,3.668,10.8772,206871165,39.646,945410,64.2496
601991,大唐发电,7.99,2.964,5.10478,5039877375,25.325,14786862,64.10156
301305,朗坤科技,29.1,3.559,9.20598,335331424,26.416,704106,64.08896
603993,洛阳钼业,17.37,3.454,1.52664,4593009589,18.284,37161917,63.415279999999996
603163,圣晖集成,115.03,8.396,6.65403,724420767,74.213,1150300,63.30806
300416,苏试试验,16.62,2.974,6.98194,567541808,32.833,845206,62.88588
002312,川发龙蟒,8.88,7.246,3.93218,648308502,40.364,1676286,62.86436
600531,豫光金铅,11.9,3.299,3.96742,566661282,15.063,1439023,62.83184
603303,得邦照明,32.3,7.595,3.86523,588470146,57.158,1540531,62.73046
600690,海尔智家,21.11,3.379,1.23178,1605722996,9.958,19796176,62.60056
600176,中国巨石,41.07,4.318,4.76389,7698299010,50.006,16440883,62.48178
600618,氯碱化工,10.7,5.419,3.07028,241360496,14.343,1237348,62.39756
000021,深科技,39.08,1.93,8.24728,5018748424,53.889,6152637,62.28456
600160,XD巨化股,41.0,2.474,4.92778,5448687406,29.286,11068959,62.27756
002192,融捷股份,83.55,5.506,14.627,3111238518,77.822,2169419,62.263999999999996
000960,锡业股份,34.86,2.62,4.59678,2638841295,30.153,5735976,62.053560000000004
603285,键邦股份,45.75,4.979,11.4851,317836358,53.824,732000,61.966800000000006
002981,朝阳科技,28.2,6.415,13.6736,450837819,52.222,387711,61.897800000000004
300347,泰格医药,39.7,2.425,4.64381,1043297849,38.173,3418273,61.562619999999995
002497,雅化集团,22.55,2.733,6.53987,1567225077,40.77,2599028,61.27874
603505,金石资源,18.87,5.774,4.39794,685265346,48.385,1588229,61.11788
002155,湖南黄金,23.33,2.866,3.45158,1262111068,24.558,3645666,60.50116
300488,恒锋工具,38.52,3.772,6.97116,431354781,38.139,736583,60.25832
300820,英杰电气,67.28,5.29,7.1764,544727174,66.614,1495318,60.2228
300435,中泰股份,18.69,2.299,6.65149,449161821,15.974,720898,60.19998
