代码,名称,最新价,涨跌幅,市盈率,换手率,粘合位置,粘合度,距粘合天数,均线发散,量比,成交量放大,MACD金叉,价格突破,MA5,MA10,MA20,MA30
603194,中力股份,38.54,3.269,18.009,3.85222,7,1.85,3,False,1.71,True,True,True,36.56,35.69,35.75,35.89
605318,法狮龙,126.99,8.948,-2539.8,7.90327,7,1.93,3,True,1.89,True,True,True,108.82,100.56,99.09,98.07
603898,好莱客,13.08,2.187,261.6,2.22779,7,2.5,3,True,1.98,True,True,True,12.69,12.67,12.57,12.76
600060,海信视像,27.98,8.366,14.82,2.98131,6,2.45,3,True,1.87,True,True,True,26.09,25.85,25.65,25.46
600397,江钨装备,14.26,3.184,-49.172,7.033,6,2.24,3,True,1.49,True,True,True,13.85,13.83,13.73,14.0
601921,浙版传媒,7.58,0.265,13.101,1.09467,6,2.2,4,True,1.94,True,True,True,7.44,7.43,7.4,7.46
300307,慈星股份,7.75,4.307,64.583,7.0799,7,1.9,3,False,1.19,False,True,True,7.55,7.16,7.19,7.15
300440,运达科技,19.28,3.879,96.4,2.35674,7,1.68,3,False,0.89,False,True,True,18.74,18.02,18.15,18.23
002142,宁波银行,32.85,0.459,7.657,0.59653,7,2.45,3,True,1.14,False,True,True,31.88,31.51,31.32,31.74
601009,南京银行,11.68,0.258,6.636,0.44403,7,1.87,3,True,1.09,False,True,True,11.46,11.27,11.08,11.2
601187,厦门银行,7.81,1.693,8.678,1.05531,7,2.08,3,True,1.3,False,True,True,7.48,7.39,7.28,7.37
601658,邮储银行,5.1,0.394,6.986,0.2139,7,0.96,3,True,1.02,False,True,True,5.02,5.0,4.98,5.01
603976,正川股份,25.0,5.798,192.308,5.53352,7,1.04,3,True,1.25,False,True,True,23.54,22.5,22.36,22.04
605208,永茂泰,15.67,3.364,74.619,6.19321,7,1.37,3,False,1.12,False,True,True,15.03,14.65,14.66,14.67
603368,柳药集团,16.51,0.487,9.223,1.08696,7,2.16,3,True,1.09,False,True,True,16.31,16.23,16.19,16.4
003025,思进智能,16.27,2.134,30.13,7.32258,6,2.48,4,False,0.97,False,True,True,15.75,15.09,15.18,14.78
601939,建设银行,10.6,1.049,8.154,1.19489,6,2.23,4,True,0.93,False,True,True,10.4,10.23,10.13,10.0
603065,XD宿迁联,12.36,9.964,-397.428,3.06759,5,1.73,5,True,0.72,False,True,True,10.64,9.32,8.66,8.53
603328,依顿电子,13.98,7.044,30.0,7.76959,5,1.01,5,True,1.14,False,True,True,13.43,13.04,12.7,12.64
601211,国泰海通,17.22,0.997,9.897,1.10215,5,2.69,5,True,1.01,False,True,True,16.7,16.35,15.8,15.9
