代码,名称,价格,PE,市值(亿),护城河评分,护城河理由
600025,华能水电,9.62,21.4,1792.0,20,"知名品牌(华能水电), 行业护城河(水电), 合理(PE21)"
002142,宁波银行,30.54,7.1,2017.0,19,"知名品牌(宁波银行), 低估(PE7), 超大盘(2017亿)"
600036,招商银行,37.12,6.5,9362.0,19,"知名品牌(招商银行), 低估(PE7), 超大盘(9362亿)"
000001,平安银行,10.66,5.2,2069.0,19,"知名品牌(平安银行), 低估(PE5), 超大盘(2069亿)"
000651,格力电器,37.88,7.3,2122.0,19,"知名品牌(格力电器), 低估(PE7), 超大盘(2122亿)"
000333,美的集团,78.95,13.6,6010.0,19,"知名品牌(美的集团), 低估(PE14), 超大盘(6010亿)"
000568,泸州老窖,89.02,12.1,1310.0,17,"知名品牌(泸州老窖), 低估(PE12), 大盘(1310亿)"
600809,山西汾酒,126.17,12.6,1539.0,17,"知名品牌(山西汾酒), 低估(PE13), 大盘(1539亿)"
600660,福耀玻璃,51.99,14.6,1357.0,17,"知名品牌(福耀玻璃), 低估(PE15), 大盘(1357亿)"
002415,海康威视,30.76,19.9,2819.0,17,"知名品牌(海康威视), 合理(PE20), 超大盘(2819亿)"
600887,伊利股份,26.0,14.2,1645.0,17,"知名品牌(伊利股份), 低估(PE14), 大盘(1645亿)"
600519,贵州茅台,1275.98,19.4,15951.0,17,"知名品牌(贵州茅台), 合理(PE19), 超大盘(15951亿)"
600690,海尔智家,20.11,9.5,1886.0,17,"知名品牌(海尔智家), 低估(PE9), 大盘(1886亿)"
600900,长江电力,27.22,19.3,6660.0,17,"知名品牌(长江电力), 合理(PE19), 超大盘(6660亿)"
600309,万华化学,73.85,18.5,2312.0,17,"知名品牌(万华化学), 合理(PE19), 超大盘(2312亿)"
002236,大华股份,17.31,14.7,566.0,17,"知名品牌(大华股份), 低估(PE15), 大盘(566亿)"
600009,上海机场,24.88,29.3,619.0,16,"知名品牌(上海机场), 行业护城河(机场), 大盘(619亿)"
600031,三一重工,17.9,18.2,1646.0,15,"知名品牌(三一重工), 合理(PE18), 大盘(1646亿)"
002508,老板电器,17.07,12.8,161.0,15,"知名品牌(老板电器), 低估(PE13)"
002241,歌尔股份,28.4,24.9,1008.0,15,"知名品牌(歌尔股份), 合理(PE25), 大盘(1008亿)"
000538,云南白药,48.82,16.9,871.0,15,"知名品牌(云南白药), 合理(PE17), 大盘(871亿)"
000338,潍柴动力,35.31,27.8,3059.0,14,"知名品牌(潍柴动力), 超大盘(3059亿)"
300433,蓝思科技,40.23,50.9,2124.0,14,"知名品牌(蓝思科技), 超大盘(2124亿)"
300750,宁德时代,415.68,25.8,19231.0,14,"知名品牌(宁德时代), 超大盘(19231亿)"
002594,比亚迪,95.88,26.8,8742.0,14,"知名品牌(比亚迪), 超大盘(8742亿)"
603288,海天味业,35.29,28.7,2065.0,14,"知名品牌(海天味业), 超大盘(2065亿)"
002475,立讯精密,72.8,31.8,5309.0,14,"知名品牌(立讯精密), 超大盘(5309亿)"
002371,北方华创,659.0,86.2,4777.0,14,"知名品牌(北方华创), 超大盘(4777亿)"
600276,恒瑞医药,48.0,40.3,3186.0,14,"知名品牌(恒瑞医药), 超大盘(3186亿)"
000423,东阿阿胶,48.86,18.1,315.0,13,"知名品牌(东阿阿胶), 合理(PE18)"
601888,中国中免,54.76,31.6,1138.0,12,"知名品牌(中国中免), 大盘(1138亿)"
300999,金龙鱼,26.18,45.1,1419.0,12,"知名品牌(金龙鱼), 大盘(1419亿)"
600436,片仔癀,121.03,33.8,730.0,12,"知名品牌(片仔癀), 大盘(730亿)"
300015,爱尔眼科,9.23,26.4,861.0,12,"知名品牌(爱尔眼科), 大盘(861亿)"
000063,中兴通讯,38.3,32.7,1832.0,12,"知名品牌(中兴通讯), 大盘(1832亿)"
002304,洋河股份,43.86,30.0,661.0,12,"知名品牌(洋河股份), 大盘(661亿)"
600176,中国巨石,43.48,52.9,1741.0,12,"知名品牌(中国巨石), 大盘(1741亿)"
001872,招商港口,21.88,11.8,543.0,11,"行业护城河(港口), 低估(PE12), 大盘(543亿)"
300763,锦浪科技,120.4,64.0,479.0,10,知名品牌(锦浪科技)
600085,同仁堂,24.88,28.7,341.0,10,知名品牌(同仁堂)
600702,舍得酒业,42.2,62.0,140.0,10,知名品牌(舍得酒业)
600763,通策医疗,36.42,32.5,163.0,10,知名品牌(通策医疗)
600000,浦发银行,9.21,6.1,3067.0,9,"低估(PE6), 超大盘(3067亿)"
600919,江苏银行,11.15,6.3,2046.0,9,"低估(PE6), 超大盘(2046亿)"
601857,中国石油,10.8,12.6,19766.0,9,"低估(PE13), 超大盘(19766亿)"
600600,青岛啤酒,59.9,17.8,817.0,9,"行业护城河(啤酒), 合理(PE18), 大盘(817亿)"
605499,东鹏饮料,141.01,16.6,1035.0,9,"行业护城河(饮料), 合理(PE17), 大盘(1035亿)"
601988,中国银行,5.81,7.9,18721.0,9,"低估(PE8), 超大盘(18721亿)"
601658,邮储银行,4.94,6.8,5933.0,9,"低估(PE7), 超大盘(5933亿)"
002714,牧原股份,37.05,12.9,2139.0,9,"低估(PE13), 超大盘(2139亿)"
600938,中国海油,34.46,13.4,16379.0,9,"低估(PE13), 超大盘(16379亿)"
601328,交通银行,6.54,6.1,5779.0,9,"低估(PE6), 超大盘(5779亿)"
601919,中远海控,14.17,7.1,2170.0,9,"低估(PE7), 超大盘(2170亿)"
601318,中国平安,52.47,6.8,9501.0,9,"低估(PE7), 超大盘(9501亿)"
600004,白云机场,8.1,13.1,209.0,9,"行业护城河(机场), 低估(PE13)"
601628,中国人寿,33.39,6.1,9438.0,9,"低估(PE6), 超大盘(9438亿)"
601319,中国人保,6.75,6.4,2985.0,9,"低估(PE6), 超大盘(2985亿)"
601211,国泰海通,14.98,8.6,2641.0,9,"低估(PE9), 超大盘(2641亿)"
601225,陕西煤业,24.66,14.3,2391.0,9,"低估(PE14), 超大盘(2391亿)"
601998,中信银行,7.37,6.1,4101.0,9,"低估(PE6), 超大盘(4101亿)"
601166,兴业银行,17.97,5.2,3803.0,9,"低估(PE5), 超大盘(3803亿)"
601939,建设银行,10.09,7.8,26395.0,9,"低估(PE8), 超大盘(26395亿)"
601898,中煤能源,15.47,11.5,2051.0,9,"低估(PE11), 超大盘(2051亿)"
601601,中国太保,32.02,5.8,3080.0,9,"低估(PE6), 超大盘(3080亿)"
601398,工商银行,7.04,7.0,25091.0,9,"低估(PE7), 超大盘(25091亿)"
601288,农业银行,6.21,8.0,21734.0,9,"低估(PE8), 超大盘(21734亿)"
600030,中信证券,25.35,12.9,3757.0,9,"低估(PE13), 超大盘(3757亿)"
600999,招商证券,17.1,12.7,1487.0,7,"低估(PE13), 大盘(1487亿)"
000776,广发证券,18.55,11.0,1452.0,7,"低估(PE11), 大盘(1452亿)"
000963,华东医药,28.82,14.8,505.0,7,"低估(PE15), 大盘(505亿)"
601633,长城汽车,16.87,14.5,1444.0,7,"低估(PE15), 大盘(1444亿)"
601088,中国神华,46.15,17.4,10010.0,7,"合理(PE17), 超大盘(10010亿)"
600104,上汽集团,12.04,13.6,1384.0,7,"低估(PE14), 大盘(1384亿)"
600050,中国联通,4.35,14.9,1360.0,7,"低估(PE15), 大盘(1360亿)"
601899,紫金矿业,30.71,15.7,8166.0,7,"合理(PE16), 超大盘(8166亿)"
601881,中国银河,12.13,11.8,1326.0,7,"低估(PE12), 大盘(1326亿)"
601009,南京银行,10.64,6.0,1315.0,7,"低估(PE6), 大盘(1315亿)"
601668,中国建筑,4.73,5.0,1954.0,7,"低估(PE5), 大盘(1954亿)"
600803,新奥股份,19.28,12.7,597.0,7,"低估(PE13), 大盘(597亿)"
600941,中国移动,98.18,15.5,21275.0,7,"合理(PE15), 超大盘(21275亿)"
603259,药明康德,100.8,15.0,3008.0,7,"合理(PE15), 超大盘(3008亿)"
601018,宁波港,3.43,12.7,667.0,7,"低估(PE13), 大盘(667亿)"
601229,上海银行,8.91,5.4,1266.0,7,"低估(PE5), 大盘(1266亿)"
600011,华能国际,8.06,10.9,1265.0,7,"低估(PE11), 大盘(1265亿)"
002128,电投能源,29.72,12.3,666.0,7,"低估(PE12), 大盘(666亿)"
600018,上港集团,5.02,8.6,1169.0,7,"低估(PE9), 大盘(1169亿)"
601390,中国中铁,4.67,5.5,1153.0,7,"低估(PE6), 大盘(1153亿)"
600926,杭州银行,15.82,5.9,1147.0,7,"低估(PE6), 大盘(1147亿)"
002379,宏桥控股,21.05,15.4,2743.0,7,"合理(PE15), 超大盘(2743亿)"
601816,京沪高铁,4.92,18.3,2407.0,7,"合理(PE18), 超大盘(2407亿)"
000166,申万宏源,4.36,11.5,1092.0,7,"低估(PE11), 大盘(1092亿)"
002001,新 和 成,30.05,13.6,924.0,7,"低估(PE14), 大盘(924亿)"
601669,中国电建,5.25,10.0,904.0,7,"低估(PE10), 大盘(904亿)"
601766,中国中车,5.73,12.5,1644.0,7,"低估(PE12), 大盘(1644亿)"
601688,华泰证券,18.04,10.4,1628.0,7,"低估(PE10), 大盘(1628亿)"
600795,国电电力,5.0,12.4,892.0,7,"低估(PE12), 大盘(892亿)"
600096,云天化,30.96,10.9,564.0,7,"低估(PE11), 大盘(564亿)"
600219,南山铝业,5.18,12.6,595.0,7,"低估(PE13), 大盘(595亿)"
600015,华夏银行,6.57,4.1,1046.0,7,"低估(PE4), 大盘(1046亿)"
