代码,名称,最新价,涨跌幅,市盈率,换手率,早晨之星位置,距早晨之星天数,第一日跌幅,第三日涨幅,理想形态,成交量放大,反转幅度
001378,德冠新材,18.91,-3.864,30.5,3.865,11,1,5.0,3.53,True,True,1.6
002258,利尔化学,12.94,-1.672,21.635,1.64378,11,1,4.14,3.7,True,False,3.22
002266,浙富控股,4.67,1.302,21.227,1.20482,11,1,5.38,2.41,True,False,2.19
002625,光启技术,36.45,-1.619,113.906,0.89249,11,1,5.19,5.56,False,False,5.62
300347,泰格医药,39.7,2.425,38.173,4.64381,11,1,5.46,5.76,False,False,7.16
600808,马钢股份,2.81,-1.056,-104.074,0.90078,11,1,4.61,6.37,False,True,5.58
600438,通威股份,14.2,1.646,-6.691,2.26358,11,1,3.16,7.46,False,True,8.38
301571,国科天成,64.83,12.885,56.868,9.25255,11,1,4.93,6.16,False,True,6.45
002859,洁美科技,78.01,-5.534,152.961,8.1444,10,2,6.42,8.22,True,True,2.04
002837,英维克,67.14,-2.554,124.333,3.41471,10,2,3.94,8.94,False,True,5.8
300661,圣邦股份,105.22,-0.501,118.745,2.81303,10,2,3.94,4.52,True,False,2.09
300868,杰美特,109.5,-2.934,-243.171,3.81695,10,2,5.52,4.84,True,False,1.86
300475,香农芯创,182.16,2.228,154.373,5.47576,10,2,4.19,5.7,True,False,0.81
002272,川润股份,20.81,1.019,-404.864,15.1361,10,2,4.09,5.39,False,False,4.89
002585,双星新材,12.42,-7.452,-26.883,31.9404,10,2,8.94,8.25,True,False,3.21
002647,仁东控股,11.71,-4.951,33.457,2.91593,10,2,4.65,5.0,True,False,2.31
301098,金埔园林,8.66,2.973,-6.611,14.2548,10,2,4.49,13.56,False,True,10.35
600584,长电科技,71.95,-2.836,82.701,7.15313,10,2,5.03,3.17,False,False,-0.48
600719,大连热电,8.74,-5.309,-37.35,9.61865,10,2,5.22,7.61,False,False,6.1
601138,工业富联,69.52,-2.263,39.056,0.74822,10,2,4.44,3.82,True,False,0.92
600396,华电辽能,17.73,-7.221,918.653,17.3142,10,2,10.87,8.32,True,False,6.1
603324,盛剑科技,33.83,10.016,-281.917,3.64236,10,2,4.04,3.67,False,False,-0.86
605111,新洁能,58.39,-0.832,61.463,4.60409,10,2,4.03,6.7,True,False,3.18
605060,联德股份,46.73,-0.786,49.189,1.57021,10,2,4.54,4.44,True,True,0.5
300199,翰宇药业,20.74,-1.939,518.5,2.72871,10,2,8.25,3.48,False,False,-0.19
300602,飞荣达,41.63,1.884,66.079,7.21129,10,2,3.11,8.28,False,False,3.53
001896,豫能控股,21.21,0.189,82.916,14.8913,10,2,13.6,10.11,True,True,8.45
300332,天壕能源,4.6,0.437,-14.375,3.43463,9,3,3.4,2.55,False,False,-0.21
600989,宝丰能源,22.96,2.226,14.718,1.09294,9,3,4.34,2.61,True,False,0.08
002512,ST达华,4.05,-4.481,-21.987,3.57264,9,3,3.59,4.1,True,False,0.47
600818,ST中路,5.6,-3.78,-31.111,2.84618,9,3,4.22,4.7,False,True,5.81
603955,大千生态,23.09,-1.409,-25.559,0.97885,9,3,3.64,6.06,False,True,4.22
600280,中央商场,2.89,-6.169,-8.257,9.38305,9,3,10.03,10.65,True,True,4.18
300910,瑞丰新材,31.18,-5.801,12.472,2.94171,8,4,3.97,4.68,True,True,3.46
600207,安彩高科,6.42,-3.459,-9.618,3.95779,8,4,5.99,11.47,False,False,9.1
002164,宁波东力,13.7,-1.722,37.027,5.09934,8,4,3.02,9.17,False,True,9.17
002956,西麦食品,21.28,-0.468,27.282,1.03572,8,4,3.69,2.58,True,False,1.52
300654,世纪天鸿,9.2,-4.86,131.429,3.78898,8,4,6.55,6.19,True,True,4.47
300835,龙磁科技,185.07,-5.432,128.521,6.88658,8,4,3.74,14.82,False,True,12.41
301030,*ST仕净,12.48,-3.778,-1.871,4.18213,8,4,6.42,5.89,True,False,6.23
002917,金奥博,11.8,-5.373,23.128,3.99411,8,4,3.99,4.19,True,False,3.15
300182,捷成股份,5.65,-11.024,78.691,14.7368,7,5,3.1,3.79,True,False,1.52
300192,科德教育,16.18,-1.04,43.055,2.22215,7,5,4.05,2.34,True,False,1.47
300333,兆日科技,9.91,2.27,-183.519,5.06991,7,5,4.73,4.0,True,False,3.28
002478,常宝股份,6.91,2.827,12.796,4.04006,7,5,3.89,2.82,True,False,1.82
002624,完美世界,13.21,-5.237,33.872,3.90167,7,5,3.83,4.66,False,True,4.5
002824,和胜股份,28.86,9.985,53.444,13.5605,7,5,3.6,4.1,False,True,10.24
002885,京泉华,38.52,-2.134,124.258,5.65444,7,5,4.25,3.55,True,False,4.29
300809,华辰装备,31.05,-4.344,38.813,6.68585,7,5,7.79,6.79,True,False,3.57
603260,合盛硅业,41.4,3.89,-16.235,2.28104,7,5,3.49,6.77,False,True,6.27
301225,恒勃股份,87.8,-2.833,65.522,5.09738,7,5,4.41,7.07,False,False,5.38
600475,华光环能,14.17,0.711,34.799,0.84417,7,5,4.75,3.23,True,False,2.62
603626,科森科技,21.31,-2.427,-33.681,5.75063,7,5,3.44,4.91,True,False,1.5
