代码,名称,价格,涨跌幅,成交额亿,换手率,市盈率,得分,信号
601668,中国建筑,4.74,0.85,7.75,0.4,亏损,60,"新闻热点, 涨0.9%, 放量"
300347,泰格医药,38.76,4.73,7.69,3.5,亏损,40,"涨4.7%, 放量, 换手3.5%"
603283,赛腾股份,49.56,3.96,12.79,7.48,亏损,40,"涨4.0%, 放量, 换手7.5%"
603259,药明康德,97.04,3.81,55.4,2.33,亏损,40,"涨3.8%, 放量, 换手2.3%"
601888,中国中免,58.05,1.17,31.98,2.84,亏损,40,"涨1.2%, 放量, 换手2.8%"
601688,华泰证券,19.37,3.14,29.0,2.08,亏损,40,"涨3.1%, 放量, 换手2.1%"
603019,中科曙光,82.7,2.86,54.32,4.42,亏损,40,"涨2.9%, 放量, 换手4.4%"
300122,智飞生物,12.59,4.05,3.89,2.24,亏损,35,"涨4.0%, 成交活跃, 换手2.2%"
000001,平安银行,11.32,1.71,17.38,0.8,亏损,30,"涨1.7%, 放量"
000063,中兴通讯,38.42,-1.84,110.04,7.0,亏损,30,"跌1.8%, 放量, 换手7.0%"
000568,泸州老窖,85.41,1.14,11.0,0.87,亏损,30,"涨1.1%, 放量"
601633,长城汽车,17.13,3.38,6.74,0.64,亏损,30,"涨3.4%, 放量"
601601,中国太保,32.51,3.04,20.9,0.95,亏损,30,"涨3.0%, 放量"
601288,农业银行,6.71,1.67,28.21,0.13,亏损,30,"涨1.7%, 放量"
601211,国泰海通,17.05,3.27,34.71,1.52,亏损,30,"涨3.3%, 放量"
600745,*ST闻泰,18.88,-4.98,9.44,3.99,亏损,30,"跌5.0%, 放量, 换手4.0%"
600887,伊利股份,25.58,1.83,12.29,0.77,亏损,30,"涨1.8%, 放量"
000858,五粮液,79.14,0.04,18.3,0.59,亏损,30,"涨0.0%, 放量"
000977,浪潮信息,59.39,-0.12,39.61,4.48,亏损,30,"跌0.1%, 放量, 换手4.5%"
300033,同花顺,198.4,-4.89,32.41,3.68,亏损,30,"跌4.9%, 放量, 换手3.7%"
600036,招商银行,38.9,1.07,36.33,0.45,亏损,30,"涨1.1%, 放量"
002241,歌尔股份,22.76,-4.49,22.97,3.18,亏损,30,"跌4.5%, 放量, 换手3.2%"
002049,紫光国微,73.0,-0.92,17.63,2.83,亏损,30,"跌0.9%, 放量, 换手2.8%"
002460,赣锋锂业,67.6,-0.5,50.66,6.1,亏损,30,"跌0.5%, 放量, 换手6.1%"
002459,晶澳科技,9.15,9.98,7.02,2.5,亏损,30,"涨幅较大10.0%, 放量, 换手2.5%"
002624,完美世界,13.94,-2.79,9.81,3.85,亏损,30,"跌2.8%, 放量, 换手3.8%"
002230,科大讯飞,42.29,-4.99,23.33,2.48,亏损,30,"跌5.0%, 放量, 换手2.5%"
300760,迈瑞医疗,143.5,0.82,9.39,0.54,亏损,30,"涨0.8%, 放量"
601166,兴业银行,18.89,2.38,25.73,0.65,亏损,30,"涨2.4%, 放量"
600030,中信证券,25.66,2.19,44.38,1.43,亏损,30,"涨2.2%, 放量"
300769,德方纳米,60.25,-1.94,7.88,5.17,亏损,30,"跌1.9%, 放量, 换手5.2%"
300364,中文在线,22.87,-3.66,7.14,4.65,亏损,30,"跌3.7%, 放量, 换手4.6%"
