代码,名称,最新价,涨跌幅,市盈率,换手率,MA5,MA10,MA60,回调幅度,60日线趋势,距买点天数
600060,海信视像,27.98,8.366,14.82,2.98131,26.09,25.85,24.01,6.49,平稳,0
600229,城市传媒,5.63,-8.157,-9.383,6.66725,5.66,5.65,5.97,4.59,平稳,0
600201,生物股份,11.93,-1.078,132.556,1.45621,11.82,11.7,13.9,6.92,平稳,0
600178,东安动力,10.57,9.99,395.88,4.3561,9.31,9.13,10.55,3.79,平稳,0
600876,凯盛新能,8.41,-1.752,-5.923,1.12934,8.63,8.6,9.6,2.87,平稳,0
600605,汇通能源,29.89,0.64,249.083,1.81216,29.74,29.62,30.32,6.28,平稳,0
600641,先导基电,28.91,5.013,-207.986,11.6843,26.75,26.61,24.31,14.11,平稳,0
600610,中毅达,8.35,3.727,176.533,5.84841,7.78,7.76,9.19,12.08,平稳,0
600825,新华传媒,4.8,-6.796,120.0,2.0253,5.12,5.11,5.67,5.03,平稳,0
600843,上工申贝,8.16,-3.432,-40.296,6.77225,7.87,7.77,8.97,6.04,平稳,0
600819,耀皮玻璃,6.4,-1.69,45.714,1.33374,6.71,6.64,7.09,9.33,平稳,0
600285,XD羚锐制,20.65,-1.196,15.41,1.57343,21.51,21.59,21.83,0.97,平稳,1
600062,华润双鹤,17.05,-0.176,10.69,0.50084,16.88,16.85,17.81,0.95,平稳,1
300052,中青宝,11.73,-4.323,-55.857,9.04065,12.26,11.89,13.11,14.36,平稳,1
600000,浦发银行,9.55,-0.417,6.283,0.21768,9.44,9.37,9.62,0.64,平稳,1
600016,民生银行,3.57,-0.833,5.667,0.57536,3.57,3.56,3.69,1.6,平稳,1
600535,天士力,14.2,-0.907,19.189,0.47369,14.15,14.17,14.33,0.99,平稳,1
600215,派斯林,6.25,-1.575,-8.319,4.2334,6.51,6.49,6.73,2.45,平稳,1
600228,返利科技,7.45,8.918,-49.207,15.4189,6.68,6.44,6.1,3.52,平稳,1
600303,曙光股份,3.04,-4.101,-5.846,6.73777,3.3,3.28,3.24,12.06,平稳,1
600191,华资实业,10.68,-3.784,87.757,0.85555,10.73,10.67,11.82,-1.5,平稳,1
300097,智云股份,9.22,-4.752,-9.705,4.30527,9.48,9.39,9.46,9.93,平稳,1
600810,神马股份,6.26,1.131,-28.455,2.47077,6.1,5.99,7.55,4.86,平稳,1
600861,北京人力,14.53,-0.684,7.032,0.61036,14.36,14.34,15.63,0.49,平稳,1
600373,中文传媒,7.84,-1.135,38.793,0.92695,7.74,7.66,8.26,3.75,平稳,1
600366,宁波韵升,13.0,-5.109,42.29,5.83543,13.05,12.72,12.67,5.18,平稳,2
600206,有研新材,34.24,6.203,109.393,21.0501,30.55,29.5,25.79,6.36,平稳,2
600010,包钢股份,2.31,-0.431,278.313,1.47981,2.35,2.37,2.65,7.99,平稳,2
600111,XD北方稀,47.52,1.149,76.313,1.9545,47.96,48.43,49.87,10.63,平稳,2
600579,中化装备,6.74,-4.937,-28.083,5.224,6.83,6.71,7.59,2.3,平稳,2
600392,盛和资源,25.27,6.043,52.789,8.43631,23.74,23.07,24.19,8.88,平稳,3
600031,三一重工,18.22,-3.342,18.528,1.10223,19.03,18.54,19.75,11.22,平稳,3
600582,天地科技,5.53,-1.25,9.357,0.81698,5.53,5.5,5.68,-2.03,平稳,3
600498,烽火通信,60.99,9.497,169.417,18.59,57.3,54.02,51.78,3.85,平稳,3
600703,三安光电,15.26,-1.991,-218.0,4.31822,16.3,16.0,14.8,10.03,平稳,3
600707,彩虹股份,10.61,-6.355,102.019,6.17178,11.57,10.9,8.44,17.18,平稳,3
600776,东方通信,15.35,-6.857,53.841,3.93234,16.3,15.5,16.01,11.31,平稳,3
600118,中国卫星,78.03,0.528,2601.0,3.28229,80.53,79.44,87.86,16.53,平稳,3
600078,澄星股份,12.56,0.239,988.976,12.6022,12.93,12.8,12.96,15.28,平稳,3
600103,青山纸业,3.51,-0.567,142.105,6.35922,3.66,3.74,4.09,9.13,平稳,3
600879,航天电子,20.12,-3.686,291.594,4.1268,21.3,20.43,22.48,12.02,平稳,3
603268,松发股份,144.9,-4.796,48.953,3.28199,148.08,141.12,134.7,9.32,平稳,3
600736,苏州高新,7.78,5.42,183.059,7.47266,7.56,7.34,7.19,17.07,平稳,3
600714,金瑞矿业,29.22,1.388,275.66,6.3018,29.91,29.73,22.85,6.68,平稳,3
002883,*ST中设,8.67,-3.02,-48.167,1.27062,9.04,9.32,9.63,5.79,平稳,4
600803,新奥股份,18.23,1.447,11.993,0.31513,18.53,19.05,20.89,7.38,平稳,4
600783,鲁信创投,21.95,-1.79,115.526,2.58207,22.69,22.43,21.75,12.69,平稳,4
600797,浙大网新,7.22,-5.744,-144.4,2.69344,7.47,7.6,8.79,3.42,平稳,4
600382,广东明珠,8.22,-0.844,29.108,3.06859,8.66,8.49,8.66,9.8,平稳,4
600389,江山股份,22.17,-3.901,17.879,1.84505,23.07,24.02,27.88,5.7,平稳,4
600335,国机汽车,5.19,-1.518,18.417,0.59304,5.3,5.42,5.87,3.29,平稳,4
300044,*ST赛为,5.42,0.37,-3.276,2.22649,5.66,5.8,6.85,8.84,平稳,4
600259,中稀有色,92.09,2.379,242.342,4.53121,90.74,88.46,89.89,17.95,平稳,4
600258,首旅酒店,12.49,-1.731,17.194,0.82824,12.68,12.97,14.77,10.11,平稳,4
600182,S佳通,13.43,-0.959,23.167,0.62094,13.59,13.71,14.07,1.12,平稳,4
600198,大唐电信,9.41,1.183,-214.351,6.00898,9.1,8.77,8.61,10.33,平稳,4
600166,福田汽车,3.01,0.669,17.5,1.92513,3.02,3.01,3.21,0.0,平稳,4
600114,东睦股份,39.72,-1.219,46.186,5.28412,40.47,39.18,33.0,-0.15,平稳,4
600152,维科技术,10.33,-2.178,-57.389,5.24616,10.86,11.48,11.91,6.44,平稳,4
600089,特变电工,22.75,0.397,19.595,1.99995,23.71,24.84,27.01,6.56,平稳,4
301288,清研环境,19.25,-1.028,-91.667,4.38,19.01,18.38,18.18,9.79,平稳,4
002193,ST如意,4.36,-2.022,-3.101,1.57909,4.55,4.7,5.74,14.26,平稳,4
002630,*ST华西,1.81,0.0,-7.445,1.81126,1.82,1.76,1.98,17.86,平稳,4
002581,*ST未名,3.53,-3.022,-20.023,3.38306,3.85,4.11,6.21,5.49,平稳,4
600846,同济科技,10.05,-6.512,22.841,1.21499,10.84,11.17,12.26,2.65,平稳,4
600552,凯盛科技,20.59,-0.435,151.175,11.8618,21.55,20.12,15.74,5.94,平稳,4
600694,大商股份,14.42,0.139,10.155,0.93106,14.38,14.71,16.69,2.67,平稳,4
600598,北大荒,14.0,0.215,21.341,0.82816,14.08,14.26,15.86,5.64,平稳,4
600486,扬农化工,53.81,-0.902,16.879,1.43938,55.73,56.98,69.2,5.71,平稳,4
600405,动力源,4.23,-3.864,-8.135,1.54897,4.45,4.52,5.17,2.65,平稳,4
600583,海油工程,5.43,0.556,11.553,0.71833,5.54,5.62,6.46,6.2,平稳,4
600749,西藏旅游,16.12,-5.51,154.406,8.7608,16.04,15.45,16.52,19.87,平稳,4
600725,云维股份,3.8,0.529,-119.122,1.21442,3.87,3.92,4.21,3.72,平稳,4
