代码,名称,最新价,涨跌幅,市盈率,换手率,距MA20,回调幅度,量比,缩量,MACD多头,MA20向上,MA60向上,MA5拐头,MA5,MA20,MA60
603488,展鹏科技,12.1,-0.82,-20.862,3.84108,4.22,3.97,0.57,True,True,True,False,True,12.24,11.61,11.11
300925,法本信息,18.68,-0.797,74.72,5.18258,4.81,4.55,0.62,True,True,True,False,True,18.75,17.82,18.29
002164,宁波东力,13.7,-1.722,37.027,5.09934,-0.31,6.55,0.56,True,True,True,False,True,14.03,13.74,13.02
300353,东土科技,20.51,-4.024,157.769,5.97948,-0.28,8.8,0.62,True,True,True,False,True,21.63,20.57,19.9
300607,拓斯达,33.41,-5.139,222.733,10.5718,1.07,10.19,0.7,True,True,True,False,True,34.59,33.06,29.24
002896,中大力德,81.56,-9.998,254.875,10.1906,-1.26,14.33,0.68,True,True,True,False,True,88.97,82.6,76.73
603159,上海亚虹,26.5,-2.214,-662.5,2.48643,-1.31,3.32,0.76,True,False,True,False,True,27.08,26.85,25.96
300545,联得装备,34.6,-3.675,56.721,9.58303,-2.12,4.95,0.75,True,False,True,False,True,35.77,35.35,33.52
301512,智信精密,53.52,-3.131,82.338,6.53596,-1.73,5.17,0.77,True,False,True,False,True,55.34,54.46,50.01
300083,创世纪,10.43,-1.697,115.889,5.28098,-2.14,5.27,0.72,True,False,True,False,True,10.53,10.66,9.11
300611,美力科技,26.5,-1.997,38.406,2.70696,-2.36,5.32,0.58,True,False,True,False,True,27.23,27.14,27.09
601636,旗滨集团,6.63,0.455,28.99,3.79389,-1.31,7.79,0.61,True,False,True,False,True,6.85,6.72,6.33
300503,昊志机电,79.81,1.025,204.641,10.3518,0.55,8.27,0.74,True,False,True,False,True,82.84,79.37,64.71
300163,先锋新材,6.33,-2.164,42.944,6.97347,4.34,8.79,0.68,True,False,True,False,True,6.52,6.07,5.13
300626,华瑞股份,36.38,-1.729,606.333,6.54875,1.87,11.74,0.61,True,False,True,False,True,38.3,35.71,28.63
300710,万隆光电,38.9,-5.811,-132.133,8.38306,0.39,14.17,0.79,True,False,True,False,True,40.64,38.75,32.98
002258,利尔化学,12.94,-1.672,21.635,1.64378,2.52,3.22,0.62,True,True,True,False,False,13.01,12.62,13.58
603161,科华控股,14.44,-1.433,28.314,1.92646,2.61,4.12,0.6,True,True,True,False,False,14.79,14.07,14.41
002051,中工国际,11.7,-2.743,46.8,4.70723,4.65,4.33,0.77,True,True,True,False,False,11.77,11.18,10.54
003013,地铁设计,15.01,-2.215,13.052,0.65906,1.14,4.52,0.59,True,True,True,False,False,15.46,14.84,13.97
603212,赛伍技术,15.67,1.886,-25.689,5.62183,2.85,5.43,0.71,True,True,True,False,False,16.01,15.24,14.22
603605,珀莱雅,63.4,-2.281,16.64,0.95881,3.89,5.56,0.61,True,True,True,False,False,65.1,61.03,61.34
002925,盈趣科技,21.08,-1.033,27.377,1.6859,0.05,6.73,0.78,True,True,True,False,False,21.72,21.07,20.34
601088,中国神华,47.29,-0.463,17.778,0.17051,0.53,6.84,0.73,True,True,True,False,False,48.61,47.04,46.98
002106,莱宝高科,12.59,-4.693,36.251,5.8615,4.54,6.88,0.74,True,True,True,False,False,13.13,12.04,11.3
600568,ST中珠,2.54,-1.931,-42.333,0.43536,-1.61,7.3,0.77,True,True,True,False,False,2.62,2.58,2.73
300020,ST银江,3.39,-3.143,-1.507,1.06587,-1.53,7.63,0.73,True,True,True,False,False,3.57,3.44,3.68
600971,恒源煤电,7.76,0.518,-48.561,1.17463,-0.13,8.49,0.59,True,True,True,False,False,8.01,7.77,7.69
300088,长信科技,7.79,-4.064,97.375,9.3891,2.45,8.89,0.78,True,True,True,False,False,8.18,7.6,6.96
603103,横店影视,20.91,-9.987,83.64,2.29706,-2.2,10.26,0.68,True,True,True,False,False,22.37,21.38,22.04
603683,晶华新材,30.1,-5.376,91.212,5.48147,2.53,11.1,0.72,True,True,True,False,False,32.06,29.36,28.36
002501,*ST利源,1.51,0.667,-30.2,1.29083,0.97,11.18,0.57,True,True,True,False,False,1.58,1.5,1.68
603466,风语筑,10.83,-9.975,-361.0,3.51045,-2.31,11.52,0.32,True,True,True,False,False,11.76,11.09,10.12
301303,真兰仪表,14.59,-3.313,17.369,10.0936,0.82,14.58,0.48,True,True,True,False,False,15.85,14.47,15.03
300599,雄塑科技,12.96,-2.556,-56.348,3.25156,2.19,3.93,0.65,True,False,True,False,False,12.99,12.68,11.37
600179,安通控股,4.35,-0.911,16.952,0.85987,-1.01,5.23,0.69,True,False,True,False,False,4.43,4.39,4.4
301093,华兰股份,122.99,-1.054,335.123,1.42195,0.64,5.61,0.72,True,False,True,False,False,124.77,122.21,97.82
600381,*ST春天,5.36,-2.722,-76.571,0.77126,1.0,5.96,0.77,True,False,True,False,False,5.41,5.31,3.92
300219,鸿利智汇,8.43,-3.657,60.214,6.30808,-1.04,6.23,0.71,True,False,True,False,False,8.8,8.52,7.93
002571,德力股份,11.89,-2.14,-17.917,3.04063,-2.27,6.53,0.66,True,False,True,False,False,12.4,12.17,11.88
603040,新坐标,85.71,-1.085,43.07,1.54042,-2.49,6.72,0.75,True,False,True,False,False,89.1,87.9,83.24
001326,联域股份,64.81,-0.338,185.171,4.40057,-1.76,6.72,0.65,True,False,True,False,False,66.96,65.97,58.55
300373,扬杰科技,100.19,-0.209,43.0,3.21245,3.61,7.13,0.78,True,False,True,False,False,101.16,96.7,83.21
601518,吉林高速,2.96,-1.987,11.385,0.86501,-1.92,7.21,0.72,True,False,True,False,False,3.04,3.02,2.95
300593,新雷能,34.88,-2.324,-96.889,5.95348,0.53,7.33,0.75,True,False,True,False,False,34.69,34.7,29.31
603269,海鸥股份,21.22,-1.348,55.842,5.34911,-2.88,7.58,0.73,True,False,True,False,False,21.74,21.85,17.51
300853,申昊科技,35.84,-1.403,-27.152,5.97056,-0.92,7.7,0.76,True,False,True,False,False,36.74,36.17,28.21
001289,龙源电力,17.8,-1.056,32.878,0.12597,-1.5,7.82,0.49,True,False,True,False,False,18.21,18.07,17.26
600105,永鼎股份,52.33,0.057,327.472,8.52267,3.25,8.03,0.8,True,False,True,False,False,53.99,50.68,41.44
600529,山东药玻,18.05,-3.269,17.356,1.64488,-2.73,8.38,0.74,True,False,True,False,False,18.84,18.56,18.66
002916,深南电路,376.16,-1.801,76.611,1.46564,0.11,8.57,0.72,True,False,True,False,False,379.56,375.75,307.72
603986,兆易创新,483.5,0.553,194.96,4.44701,2.63,8.65,0.73,True,False,True,False,False,485.37,471.09,352.41
300223,北京君正,145.49,-2.323,186.454,7.93348,-0.27,9.01,0.77,True,False,True,False,False,148.59,145.88,128.99
301362,民爆光电,183.47,-1.893,102.497,7.12155,-2.09,9.62,0.66,True,False,True,False,False,190.85,187.38,150.51
002463,沪电股份,126.91,-2.825,63.854,4.05097,2.62,10.05,0.75,True,False,True,False,False,133.76,123.67,103.03
600395,盘江股份,5.53,-1.073,36.144,1.37923,-1.8,10.08,0.64,True,False,True,False,False,5.81,5.63,5.71
002491,通鼎互联,24.06,-0.947,-387.44,10.2021,0.95,10.32,0.56,True,False,True,False,False,24.97,23.83,18.02
300553,集智股份,62.76,-2.228,369.176,3.60387,-2.37,10.38,0.6,True,False,True,False,False,64.91,64.28,49.97
600714,金瑞矿业,29.22,1.388,275.66,6.3018,0.64,11.19,0.74,True,False,True,False,False,29.91,29.03,22.85
002962,五方光电,19.22,-9.977,147.846,14.6129,-2.28,11.22,0.71,True,False,True,False,False,20.73,19.67,17.2
002387,维信诺,8.21,-3.638,-4.799,3.02604,-2.94,11.34,0.69,True,False,True,False,False,8.69,8.46,8.18
601101,XD昊华能,12.31,-0.646,34.194,1.94953,2.34,12.13,0.52,True,False,True,False,False,13.12,12.03,10.13
600584,长电科技,71.95,-2.836,82.701,7.15313,-1.73,12.31,0.78,True,False,True,False,False,73.45,73.22,53.82
301030,*ST仕净,12.48,-3.778,-1.871,4.18213,-0.95,12.42,0.78,True,False,True,False,False,13.03,12.6,11.69
601918,新集能源,9.83,1.55,11.915,2.1587,0.38,12.85,0.7,True,False,True,False,False,10.13,9.79,8.58
002806,华锋股份,17.86,-4.492,-119.067,14.9952,2.6,13.64,0.78,True,False,True,False,False,18.98,17.41,15.19
001286,陕西能源,11.8,1.114,14.75,1.53814,-2.74,14.18,0.74,True,False,True,False,False,11.96,12.13,11.61
002787,华源控股,26.1,-3.867,76.765,5.3555,-1.14,14.2,0.56,True,False,True,False,False,27.01,26.4,19.67
603989,艾华集团,30.59,-2.018,46.028,5.46406,0.38,14.58,0.78,True,False,True,False,False,32.47,30.47,22.67
300031,宝通科技,25.65,-3.061,51.766,7.80648,2.31,3.06,0.88,False,True,True,False,True,25.87,25.07,22.69
605198,安德利,58.91,-4.04,61.365,1.33649,3.94,4.04,0.91,False,True,True,False,True,58.53,56.68,47.71
002641,公元股份,4.2,-3.448,84.0,2.07037,0.13,4.33,0.96,False,True,True,False,True,4.28,4.19,4.18
300802,矩子科技,24.1,-5.081,75.313,9.69294,3.56,5.08,0.82,False,True,True,False,True,24.5,23.27,20.77
300508,维宏股份,47.05,-0.085,58.022,6.68664,1.86,6.65,0.8,False,True,True,False,True,47.73,46.19,39.97
603008,ST喜临门,9.02,-0.221,13.877,2.26212,1.45,7.39,0.87,False,True,True,False,True,9.07,8.89,12.05
603662,柯力传感,64.97,-5.677,53.694,5.90339,-1.01,8.69,0.88,False,True,True,False,True,68.23,65.63,59.78
603616,韩建河山,6.56,-10.014,-248.485,8.50752,2.29,10.01,0.82,False,True,True,False,True,6.76,6.41,6.44
002993,奥海科技,64.82,-3.412,42.091,3.71773,2.07,3.41,0.82,False,False,True,False,True,64.45,63.51,54.25
301092,争光股份,47.87,1.981,63.827,7.96705,1.74,5.45,1.0,False,False,True,False,True,47.28,47.05,39.27
600903,贵州燃气,9.18,-1.396,229.5,3.89262,-1.99,6.52,0.94,False,False,True,False,True,8.92,9.37,7.44
601066,中信建投,24.59,-1.443,22.56,0.50896,3.52,4.69,0.89,False,True,True,False,False,24.69,23.75,22.64
601898,中煤能源,16.31,2.967,12.081,0.44726,-0.52,5.17,0.82,False,True,True,False,False,16.47,16.39,17.12
601919,中远海控,14.23,-1.249,7.151,0.87097,-1.92,5.26,0.94,False,True,True,False,False,14.69,14.51,14.78
301236,软通动力,41.13,-6.331,186.955,7.28507,2.51,8.11,0.9,False,True,True,False,False,43.03,40.12,40.15
605319,无锡振华,25.64,-4.684,19.134,1.58088,-1.48,9.08,0.82,False,True,True,False,False,27.28,26.03,26.17
002733,雄韬股份,31.39,-2.09,149.476,8.94735,2.93,11.88,0.93,False,True,True,False,False,33.32,30.5,29.04
301218,华是科技,38.23,-7.209,-164.218,10.3168,1.53,12.48,0.96,False,True,True,False,False,40.78,37.65,35.82
002845,同兴达,15.28,-0.326,117.538,7.07112,-2.03,3.29,0.97,False,False,True,False,False,15.45,15.6,14.64
600909,华安证券,7.27,-2.416,16.156,3.04744,2.54,3.45,0.95,False,False,True,False,False,7.22,7.09,6.17
002741,光华科技,27.63,-3.222,125.591,9.72544,2.88,4.26,0.96,False,False,True,False,False,27.64,26.86,22.12
603358,华达科技,37.43,0.835,68.055,1.83604,-0.94,4.27,0.88,False,False,True,False,False,37.48,37.78,36.53
300554,三超新材,29.18,-0.715,-20.952,9.92465,3.11,4.33,0.83,False,False,True,False,False,29.48,28.3,25.1
300657,弘信电子,44.01,1.499,141.968,13.3577,-1.41,4.39,0.88,False,False,True,False,False,44.16,44.64,36.94
001335,信凯科技,47.0,-0.318,51.648,3.03352,-1.57,4.47,0.85,False,False,True,False,False,47.23,47.75,45.14
001226,拓山重工,50.11,-4.534,185.593,5.41442,-1.61,4.53,0.93,False,False,True,False,False,51.15,50.93,47.04
600025,华能水电,9.7,1.253,21.556,0.12732,0.0,4.72,0.81,False,False,True,False,False,9.67,9.7,9.78
300538,同益股份,17.23,-3.419,-61.536,8.27234,-0.95,5.07,0.84,False,False,True,False,False,17.6,17.39,16.14
300567,精测电子,192.9,2.177,665.172,3.1957,-0.65,5.35,0.94,False,False,True,False,False,187.52,194.16,153.99
603618,杭电股份,41.4,3.759,-96.279,10.3821,3.62,5.37,0.98,False,False,True,False,False,40.71,39.96,31.34
603221,爱丽家居,12.21,1.076,174.429,0.99265,-2.41,5.5,0.94,False,False,True,False,False,12.25,12.51,11.99
002886,沃特股份,27.8,-3.136,113.008,7.01959,-2.36,5.86,0.91,False,False,True,False,False,27.96,28.47,24.27
605303,园林股份,27.85,4.034,-26.524,3.65395,-1.05,5.91,0.94,False,False,True,False,False,27.54,28.15,23.23
600460,士兰微,33.18,-1.044,138.25,3.79303,-0.86,6.06,0.84,False,False,True,False,False,33.5,33.47,29.46
600795,国电电力,4.99,1.423,12.413,0.99573,-0.92,6.2,0.88,False,False,True,False,False,4.99,5.04,4.95
603377,ST东时,3.54,-0.282,-3.404,0.72148,-1.56,6.35,0.94,False,False,True,False,False,3.58,3.6,3.64
605020,永和股份,33.26,1.094,27.488,4.83412,-0.11,6.57,0.83,False,False,True,False,False,33.02,33.3,28.51
002068,黑猫股份,9.98,-1.772,-15.682,3.92035,-2.27,7.25,0.83,False,False,True,False,False,10.33,10.21,9.35
002353,杰瑞股份,145.01,0.145,54.928,3.44201,1.59,7.84,0.85,False,False,True,False,False,147.97,142.74,125.39
