代码,名称,最新价,涨跌幅,市盈率,换手率,红三兵位置,距红三兵天数,三日涨幅,理想形态,涨幅适中,成交量配合,第一日涨幅,第二日涨幅,第三日涨幅
002191,劲嘉股份,3.88,-2.267,-16.167,1.52832,6,1,4.75,True,True,True,1.58,2.86,1.02
300477,ST合纵,2.41,-5.859,-2.888,3.33448,6,1,8.02,True,True,True,3.8,1.23,4.92
600350,山东高速,11.04,-6.441,20.257,0.28601,6,1,6.31,True,True,True,1.44,3.02,2.08
600511,国药股份,27.54,0.255,10.407,0.60852,6,1,4.01,True,True,True,1.06,1.42,1.82
301091,深城交,17.52,-5.195,146.0,1.6086,6,1,5.6,True,True,True,3.14,1.67,2.33
600373,中文传媒,7.84,-1.135,38.793,0.92695,5,2,6.54,True,True,True,2.45,1.74,2.89
003005,竞业达,14.86,-3.819,400.539,1.80777,5,2,5.28,True,True,True,3.29,2.16,1.59
600826,兰生股份,9.27,-1.173,20.6,0.92893,5,2,7.49,True,True,True,1.73,4.03,3.55
300007,汉威科技,39.68,-5.793,80.98,5.65761,4,3,6.27,True,True,True,1.54,4.08,3.73
300020,ST银江,3.39,-3.143,-1.507,1.06587,5,2,5.16,True,True,False,4.3,3.1,1.1
002664,信质集团,17.4,-1.917,52.727,1.47575,4,3,5.52,True,True,False,1.28,4.5,3.5
002661,克明食品,7.7,-3.023,25.667,1.21879,6,1,4.89,True,False,True,1.45,3.26,0.51
002576,通达动力,15.8,-3.717,31.6,3.28524,6,1,3.21,True,False,True,0.5,2.13,2.24
300955,嘉亨家化,41.03,-1.607,-110.892,1.70843,6,1,4.22,True,False,True,0.82,2.03,2.48
600004,白云机场,8.02,-1.11,12.935,0.41275,6,1,1.25,True,False,True,0.25,0.37,0.62
600551,时代出版,7.31,-0.949,12.097,0.68676,6,1,2.79,True,False,True,0.7,0.97,1.51
600830,香溢融通,8.13,-0.854,45.932,1.85896,6,1,5.53,True,False,True,0.9,2.3,2.76
603202,天有为,67.96,0.951,10.804,2.95001,6,1,5.55,True,False,True,0.44,1.49,4.36
603676,卫信康,8.9,-1.221,16.481,0.44057,6,1,2.27,True,False,True,0.34,0.11,1.81
600843,上工申贝,8.16,-3.432,-40.296,6.77225,6,1,16.07,True,False,True,3.16,2.81,11.18
601601,中国太保,32.06,-1.384,5.766,0.77151,6,1,4.9,True,False,True,0.68,1.12,3.17
002014,永新股份,10.56,0.86,14.667,0.46844,6,1,2.85,True,False,True,0.69,1.57,1.26
002468,申通快递,13.91,-0.714,15.12,0.99611,6,1,1.74,True,False,True,0.44,1.01,1.52
301418,协昌科技,46.0,-6.656,657.143,22.0569,6,1,10.02,True,False,True,1.76,7.84,4.58
