stock_id,代码,名称,最新价,涨跌幅,市盈率,current_price,period_low,period_high,price_ratio,price_percentile,distance_from_low,distance_from_high,信号
4056,600050,中国联通,4.36,-0.46,,4.36,4.28,5.95,1.02,2.8,1.87,26.72,连续5日小阳线+低位(距低点1.87%)
159,600983,惠而浦,8.63,2.49,,8.63,8.25,12.82,1.05,2.8,4.61,32.68,连续5日小阳线+低位(距低点4.61%)
2176,601658,邮储银行,5.1,0.39,,5.1,4.87,6.44,1.05,27.2,4.72,20.81,连续5日小阳线+低位(距低点4.72%)
1062,600874,创业环保,5.82,1.04,,5.82,5.53,6.81,1.05,4.8,5.24,14.54,连续5日小阳线+低位(距低点5.24%)
2172,603288,海天味业,35.17,0.2,,35.17,33.37,44.59,1.05,3.6,5.39,21.13,连续5日小阳线+低位(距低点5.39%)
5142,001395,亚联机械,36.72,-0.49,,36.72,34.81,60.49,1.05,5.2,5.49,39.3,连续5日小阳线+低位(距低点5.49%)
3821,001328,登康口腔,29.4,2.62,,29.4,27.52,54.68,1.07,3.6,6.83,46.23,连续5日小阳线+低位(距低点6.83%)
3240,601328,交通银行,6.97,0.43,,6.97,6.48,8.34,1.08,40.8,7.56,16.43,连续5日小阳线+低位(距低点7.56%)
1089,605218,伟时电子,16.9,-0.47,,16.9,15.63,26.19,1.08,6.4,8.13,35.47,连续5日小阳线+低位(距低点8.13%)
56,603202,天有为,67.96,0.95,,67.96,62.21,108.6,1.09,5.6,9.24,37.42,连续5日小阳线+低位(距低点9.24%)
4899,600716,凤凰股份,3.73,0.54,,3.73,3.4,4.92,1.1,18.0,9.71,24.19,连续5日小阳线+低位(距低点9.71%)
5076,601728,中国电信,6.24,-0.64,,6.24,5.59,8.08,1.12,36.0,11.63,22.77,连续5日小阳线+低位(距低点11.63%)
3949,600897,厦门空港,15.76,1.61,,15.76,14.06,22.44,1.12,50.0,12.09,29.77,连续5日小阳线+低位(距低点12.09%)
4720,601009,南京银行,11.68,0.26,,11.68,10.29,12.2,1.14,84.0,13.51,4.26,连续5日小阳线+低位(距低点13.51%)
1834,600610,中毅达,8.35,3.73,,8.35,7.25,18.96,1.15,4.8,15.17,55.96,连续5日小阳线+低位(距低点15.17%)
2185,601211,国泰海通,17.22,1.0,,17.22,14.91,22.35,1.15,22.0,15.49,22.95,连续5日小阳线+低位(距低点15.49%)
1655,603586,金麒麟,18.28,0.88,,18.28,15.72,24.15,1.16,42.0,16.28,24.31,连续5日小阳线+低位(距低点16.28%)
36,002568,百润股份,19.79,0.71,,19.79,16.44,30.28,1.2,28.0,20.38,34.64,连续5日小阳线+低位(距低点20.38%)
2897,600919,江苏银行,11.78,0.43,,11.78,9.65,12.64,1.22,92.4,22.07,6.8,连续5日小阳线+低位(距低点22.07%)
5575,603201,常润股份,18.7,0.54,,18.7,15.0,21.22,1.25,90.8,24.67,11.88,连续5日小阳线+低位(距低点24.67%)
3553,601939,建设银行,10.6,1.05,,10.6,8.5,10.7,1.25,100.0,24.71,0.93,连续5日小阳线+低位(距低点24.71%)
642,603181,皇马科技,14.42,1.33,,14.42,11.54,20.88,1.25,33.2,24.96,30.94,连续5日小阳线+低位(距低点24.96%)
698,002142,宁波银行,32.85,0.46,,32.85,25.91,33.88,1.27,98.8,26.79,3.04,连续5日小阳线+低位(距低点26.79%)
1867,603060,国检集团,7.49,0.0,,7.49,5.88,7.55,1.27,100.0,27.38,0.79,连续5日小阳线+低位(距低点27.38%)
1131,300477,ST合纵,2.41,-5.86,,2.41,1.89,4.55,1.28,46.4,27.51,47.03,连续5日小阳线+低位(距低点27.51%)
2061,603039,泛微网络,45.56,-0.31,,45.56,35.6,74.51,1.28,20.8,27.98,38.85,连续5日小阳线+低位(距低点27.98%)
888,003025,思进智能,16.27,2.13,,16.27,12.66,17.25,1.29,99.2,28.52,5.68,连续5日小阳线+低位(距低点28.52%)
2666,002779,中坚科技,83.71,4.13,,83.71,65.0,146.0,1.29,25.6,28.78,42.66,连续5日小阳线+低位(距低点28.78%)
