代码,名称,价格,涨幅,换手率,量比,成交额(亿),振幅,PE,市值(亿),技术信号,热门板块,距MA5,距MA10
300726,宏达电子,79.92,20.0,12.54,0.0,20.58,0.0,82.05,329.14,"均线多头, 站上均线, 突破10日高点, 连续上涨",其他,19.67,24.9
300897,山科智能,22.38,20.0,10.19,0.0,2.78,0.0,172.15,43.83,放量,AI人工智能,15.04,7.82
301160,翔楼新材,63.01,14.63,8.99,0.0,4.12,0.0,35.01,71.55,"站上均线, 突破10日高点, 放量",其他,12.26,8.97
301528,多浦乐,80.75,14.55,13.49,0.0,3.33,0.0,75.17,49.98,"站上均线, 突破10日高点, 连续上涨, 放量",其他,14.03,14.91
301362,民爆光电,195.73,13.77,15.62,0.0,12.05,0.0,109.35,285.66,"站上均线, 连续上涨",其他,14.17,7.4
301286,侨源股份,61.53,12.9,3.64,0.0,3.51,0.0,105.0,246.18,"站上均线, 突破10日高点, 连续上涨, 放量",其他,10.92,9.28
300001,特锐德,40.99,11.99,5.33,0.0,22.29,0.0,34.16,432.66,"站上均线, 突破10日高点, 放量",其他,6.93,6.21
300260,新莱应材,60.7,11.99,12.47,0.0,21.3,0.0,137.96,247.54,"站上均线, 连续上涨, 放量",其他,8.7,3.05
301099,雅创电子,79.3,10.74,19.7,0.0,13.67,0.0,88.11,116.31,"均线多头, 站上均线, 突破10日高点, 连续上涨",其他,12.15,16.13
301611,珂玛科技,107.99,10.42,17.21,0.0,26.45,0.0,163.62,470.84,"连续上涨, 放量",其他,13.18,7.12
300037,新宙邦,78.3,10.2,9.6,0.0,39.45,0.0,53.63,590.29,"均线多头, 站上均线, 放量",其他,7.05,7.35
605162,新中港,12.71,10.04,7.35,0.0,4.03,0.0,41.0,56.29,"站上均线, 突破10日高点, 连续上涨",其他,16.05,18.27
002824,和胜股份,27.45,10.02,10.33,0.0,6.24,0.0,50.83,85.42,"站上均线, 突破10日高点, 连续上涨",其他,5.98,9.77
603610,麒盛科技,19.32,10.02,4.07,0.0,2.73,0.0,66.62,68.2,"站上均线, 突破10日高点, 放量",其他,7.85,6.26
601666,平煤股份,9.22,10.02,4.43,0.0,9.82,0.0,98.61,227.68,"均线多头, 站上均线, 突破10日高点, 连续上涨, 放量",其他,9.55,15.45
600667,太极实业,16.36,10.02,9.24,0.0,30.64,0.0,77.91,342.18,"均线多头, 站上均线, 突破10日高点",其他,12.66,17.24
603067,振华股份,38.45,10.01,7.76,0.0,21.76,0.0,41.34,290.5,"连续上涨, 放量",其他,7.91,0.23
001896,豫能控股,22.09,10.01,13.51,0.0,44.9,0.0,86.36,337.05,"均线多头, 站上均线, 突破10日高点, 连续上涨",其他,16.95,26.55
600226,亨通股份,6.71,10.0,8.08,0.0,15.82,0.0,95.86,199.58,"均线多头, 站上均线, 连续上涨, 放量",其他,6.98,11.72
002733,雄韬股份,32.67,10.0,6.29,0.0,7.32,0.0,155.57,125.52,"均线多头, 站上均线",其他,4.77,5.58
603516,淳中科技,126.39,10.0,4.6,0.0,11.55,0.0,91.59,256.91,"站上均线, 突破10日高点, 连续上涨",其他,9.98,8.19
600482,中国动力,39.81,10.0,3.08,0.0,27.51,0.0,68.64,902.99,"站上均线, 突破10日高点, 放量",其他,7.03,7.47
002353,杰瑞股份,157.34,10.0,3.56,0.0,38.06,0.0,59.6,1610.93,"均线多头, 站上均线, 突破10日高点",其他,6.91,10.36
002395,双象股份,15.4,10.0,5.24,0.0,2.08,0.0,20.44,41.3,"连续上涨, 放量",其他,6.69,3.89
002971,和远气体,37.39,10.0,9.98,0.0,5.67,0.0,128.93,79.18,"站上均线, 突破10日高点",其他,6.91,8.59
002570,贝因美,5.72,10.0,14.04,0.0,8.34,0.0,38.13,61.78,"均线多头, 站上均线, 突破10日高点, 连续上涨, 放量",其他,9.33,13.42
002484,江海股份,96.35,10.0,4.47,0.0,34.34,0.0,120.45,819.48,"均线多头, 站上均线, 突破10日高点, 连续上涨",其他,13.51,29.67
002981,朝阳科技,28.95,9.99,13.99,0.0,4.65,0.0,53.61,39.8,"均线多头, 站上均线, 突破10日高点, 放量",其他,6.08,9.0
002590,万安科技,12.44,9.99,3.18,0.0,1.93,0.0,30.34,64.57,放量,其他,6.6,2.25
603005,晶方科技,44.58,9.99,17.13,0.0,47.94,0.0,78.21,290.74,"站上均线, 连续上涨",其他,10.07,8.35
603989,艾华集团,34.25,9.99,7.68,0.0,10.03,0.0,51.53,136.58,"均线多头, 站上均线",其他,3.68,5.54
603500,祥和实业,11.12,9.99,3.81,0.0,1.4,0.0,27.8,37.01,"均线多头, 站上均线, 突破10日高点",其他,5.42,6.58
002645,华宏科技,36.1,9.99,12.96,0.0,25.19,0.0,103.14,226.56,"均线多头, 站上均线, 突破10日高点, 连续上涨, 放量",其他,14.87,16.65
003043,华亚智能,67.57,9.99,10.95,0.0,5.97,0.0,107.25,90.43,"均线多头, 站上均线, 突破10日高点, 连续上涨, 放量",AI人工智能,8.64,8.88
003011,海象新材,22.7,9.98,10.29,0.0,1.77,0.0,23.16,23.31,放量,其他,5.82,1.03
600353,旭光电子,26.44,9.98,6.11,0.0,13.08,0.0,135.66,219.14,"均线多头, 站上均线, 突破10日高点, 连续上涨",其他,11.74,12.58
603210,泰鸿万立,14.99,9.98,4.69,0.0,1.58,0.0,23.29,51.03,放量,其他,5.83,4.13
002051,中工国际,12.02,9.97,6.87,0.0,9.85,0.0,48.08,147.42,"站上均线, 突破10日高点, 连续上涨",其他,7.55,9.16
