方向,股票名,代码,验证状态
风电光伏,明阳智能,601615,✅
风电光伏,金风科技,002202,✅
风电光伏,运达股份,300772,✅
风电光伏,天顺风能,002531,✅
风电光伏,大金重工,002487,✅
风电光伏,海力风电,301155,✅
风电光伏,隆基绿能,601012,✅
风电光伏,通威股份,600438,✅
风电光伏,阳光电源,300274,✅
风电光伏,晶澳科技,002459,✅
风电光伏,天合光能,688599,✅
风电光伏,福莱特,601865,✅
新型储能,宁德时代,300750,✅
新型储能,亿纬锂能,300014,✅
新型储能,国轩高科,002074,✅
新型储能,派能科技,688063,✅
新型储能,鹏辉能源,300438,✅
新型储能,德业股份,605117,✅
氢能,美锦能源,000723,✅
氢能,京城股份,600860,✅
氢能,厚普股份,300471,✅
氢能,雄韬股份,002733,✅
氢能,亿华通,688339,✅
核电,中国广核,003816,✅
核电,中国核电,601985,✅
核电,沃尔核材,002130,✅
特高压电网,特变电工,600089,✅
特高压电网,国电南瑞,600406,✅
特高压电网,许继电气,000400,✅
特高压电网,平高电气,600312,✅
特高压电网,中国西电,601179,✅
新能源汽车,比亚迪,002594,✅
新能源汽车,赛力斯,601127,✅
新能源汽车,长安汽车,000625,✅
新能源汽车,宇通客车,600066,✅
半导体,中芯国际,688981,✅
半导体,华大九天,301269,✅
半导体,北方华创,002371,✅
半导体,中微公司,688012,✅
半导体,豪威集团(韦尔),603501,✅
半导体,紫光国微,002049,✅
半导体,兆易创新,603986,✅
半导体,长电科技,600584,✅
人工智能,科大讯飞,002230,✅
人工智能,中科创达,300496,✅
人工智能,海康威视,002415,✅
人工智能,寒武纪,688256,✅
人工智能,拓尔思,300229,✅
算力,中科曙光,603019,✅
算力,浪潮信息,000977,✅
算力,紫光股份,000938,✅
算力,中兴通讯,000063,✅
算力,润泽科技,300442,✅
创新药,恒瑞医药,600276,✅
创新药,药明康德,603259,✅
创新药,百济神州,688235,✅
创新药,凯莱英,002821,✅
创新药,泰格医药,300347,✅
电池回收,格林美,002340,✅
电池回收,华友钴业,600516,✅
电池回收,天奇股份,002009,✅
